✅ TX ea254fd2e13c249e539baa93c0a52d00fbcbc00ab14222aa54f2c47c3747fa10 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-09-18 01:26:00
✅ TX 3673c15fb2d0c7c524d807f24bbe7508e2e0900d48c78e425459b6549b9dcc19 | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2016-09-18 01:26:00
✅ TX 24d4170699a8c47d31a89f2cec914a6e0fb810a01e001d40b8dd13ad0cb9d624 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-09-18 01:26:00
✅ TX 104b33b3ca2c1491bb4739705c55ea06d087097a003dfdbfc46c4ffbd38b4a43 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 211 | Timestamp: 2016-09-18 01:26:00
✅ TX 5f98bc73a402bea7d9528693c8c400679a6185c9da1c3fe41ba3684ecdaaa6d7 | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-09-18 01:26:00
✅ TX f482143814afbab4e0380235abbc9485ad870c2462c7b63808d2cb2c57414cdb | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-12-25 10:25:00
✅ TX 773325385823e8cd2e12fcfd095804e6014364da79021b9a551b481cd33dab9a | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2016-12-25 10:25:00
✅ TX 996d1bd87a3a5fc350795e6d031f6612743d07de8a2633a9db054ef0507269f0 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-12-25 10:25:00
✅ TX 775385dbb477eb7b499e821274f0e1488dfba852a1de6df48ab0635a4e644131 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 210 | Timestamp: 2016-12-25 10:25:00
✅ TX d1b3d3e35f1bde84ee80613d2cee48a1b315fbae515930071f0863ceb5e6a9d8 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-11-23 22:45:00
✅ TX 93214338776f8ec4fbd28077f60edf373809b7a39ce7b55423e0f5da63b11439 | SENSOR_Temperature_°C | Temperature (°C) | Value: 9 | Timestamp: 2016-11-23 22:45:00
✅ TX 2536037a4e96e0f013ff64411d2d5ac7f23a019b0092f76b348b5e32113b92fe | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-11-23 22:45:00
✅ TX b61f961533bbd54e310be6749560a53e2d357406f33322e89dc5397698ac2a82 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 209 | Timestamp: 2016-11-23 22:45:00
✅ TX 80166b5544b6f1ea275c6fc60d13229de92282e416278272572e81ef6ee10ad9 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-11-07 20:41:00
